"Census Subdivision (Municipal) Population Estimates, July 1, 2016 to 2022, Alberta",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Census Division,Census Subdivision,Area Name,Type,2016,2017,2018,2019,2020,2021,2022
4817,4817093,High Level,T,3256,3246,3196,3244,3263,3254,3293
4817,4817095,Mackenzie County,SM,11500,11758,12018,12248,12480,12775,13204
4817,4817097,Rainbow Lake,T,810,757,705,694,648,603,577
4817,4817817,Jean Baptiste Gambler 1831 7 ,IRI,263,262,263,264,261,259,257
4817,4817818,Wabasca 166,IRI,165,165,164,165,165,165,166
4817,4817819,Wabasca 166A1 7,IRI,674,591,596,615,619,611,606
4817,4817821,Wabasca 166B,IRI,196,195,196,198,199,197,195
4817,4817822,Wabasca 166C,IRI,193,192,192,192,192,192,192
4817,4817823,Wabasca 166D,IRI,988,1004,949,961,937,923,916
4817,4817824,Utikoomak Lake 155,IRI,744,752,768,791,810,820,823
4817,4817825,Clear Hills 152C1 7,IRI,0,5,5,5,5,5,5
4817,4817826,Kapawe'no First Nation 231,IRI,42,42,42,42,42,42,42
4817,4817827,Utikoomak Lake 155A,IRI,131,131,131,131,131,132,130
4817,4817828,Drift Pile River 150,IRI,850,857,871,862,862,850,842
4817,4817829,Sucker Creek 150A,IRI,706,705,713,714,720,727,715
4817,4817830,Kapawe'no First Nation (Pakashan 150D),IRI,5,5,5,4,4,4,4
4817,4817831,Swan River 150E,IRI,425,425,428,427,428,428,439
4817,4817832,Sawridge 150G,IRI,20,21,21,22,22,22,20
4817,4817833,Sawridge 150H,IRI,10,10,10,10,10,10,9
4817,4817835,Fox Lake 162,IRI,2094,2175,2248,2319,2397,2495,2543
4817,4817836,Kapawe'no First Nation (Freeman 150B),IRI,159,159,159,159,159,159,159
4817,4817837,John d'Or Prairie 215,IRI,1232,1250,1249,1279,1303,1319,1326
4817,4817838,Tall Cree 173,IRI,257,262,273,274,285,289,289
